account_id,login_frequency,feature_adoption_pct,session_duration_avg,timestamp
ACC-1005,13,39.5,23,2026-03-26
ACC-1005,10,12.14,14,2026-03-19
ACC-1005,18,36.33,36,2026-03-12
ACC-1006,2,51.68,51,2026-04-30
ACC-1006,1,83.03,37,2026-04-23
ACC-1006,5,82.19,58,2026-04-16
ACC-1006,12,35.16,20,2026-04-09
ACC-1006,9,78.79,22,2026-04-02
ACC-1006,2,52.92,50,2026-03-26
ACC-1006,17,39.6,25,2026-03-19
ACC-1006,13,38.15,51,2026-03-12
ACC-1007,5,70.5,19,2026-04-30
ACC-1007,5,94.09,55,2026-04-23
ACC-1007,1,28.99,51,2026-04-16
ACC-1007,1,35.13,16,2026-04-09
ACC-1007,20,46.19,16,2026-04-02
ACC-1007,6,12.63,35,2026-03-26
ACC-1007,20,26.53,5,2026-03-19
ACC-1007,16,86.4,51,2026-03-12
ACC-1008,0,58.85,45,2026-04-30
ACC-1008,3,72.25,7,2026-04-23
ACC-1008,0,49.06,25,2026-04-16
ACC-1008,8,89.75,19,2026-04-09
ACC-1008,6,74.63,51,2026-04-02
ACC-1008,20,20.55,44,2026-03-26
ACC-1008,18,93.11,13,2026-03-19
ACC-1008,17,21.63,6,2026-03-12
ACC-1009,5,16.26,41,2026-04-30
ACC-1009,4,40.53,10,2026-04-23
ACC-1009,0,93.82,46,2026-04-16
ACC-1009,8,19.6,51,2026-04-09
ACC-1009,14,47.76,26,2026-04-02
ACC-1009,3,18.83,49,2026-03-26
ACC-1009,15,79.97,5,2026-03-19
ACC-1009,14,41.01,36,2026-03-12
ACC-1010,1,49.65,50,2026-04-30
ACC-1010,0,27.72,52,2026-04-23
ACC-1010,2,44.18,26,2026-04-16
ACC-1010,14,18.08,5,2026-04-09
ACC-1010,8,54.35,34,2026-04-02
ACC-1010,14,53.51,7,2026-03-26
ACC-1010,16,53.81,46,2026-03-19
ACC-1010,13,29.95,50,2026-03-12
ACC-1011,2,10.87,21,2026-04-30
ACC-1011,1,28.27,8,2026-04-23
ACC-1011,2,49.02,31,2026-04-16
ACC-1011,20,49.4,25,2026-04-09
ACC-1011,17,85.13,6,2026-04-02
ACC-1011,20,87.85,46,2026-03-26
ACC-1011,18,66.63,41,2026-03-19
ACC-1011,6,80.82,39,2026-03-12
ACC-1012,5,50.15,44,2026-04-30
ACC-1012,0,75.99,44,2026-04-23
ACC-1012,5,67.54,38,2026-04-16
ACC-1012,7,24.73,22,2026-04-09
ACC-1012,17,64.76,49,2026-04-02
ACC-1012,10,84.37,22,2026-03-26
ACC-1012,2,41.24,31,2026-03-19
ACC-1012,16,54.78,51,2026-03-12
ACC-1013,2,13.2,16,2026-04-30
ACC-1013,2,37.13,16,2026-04-23
ACC-1013,1,83.62,19,2026-04-16
ACC-1013,13,24.72,9,2026-04-09
ACC-1013,11,11.51,18,2026-04-02
ACC-1013,10,71.7,19,2026-03-26
ACC-1013,15,69.76,16,2026-03-19
ACC-1013,9,40.82,44,2026-03-12
ACC-1014,4,80.73,30,2026-04-30
ACC-1014,4,40.18,40,2026-04-23
ACC-1014,2,72.91,41,2026-04-16
ACC-1014,13,91.18,52,2026-04-09
ACC-1014,12,24.43,16,2026-04-02
ACC-1014,6,57.64,45,2026-03-26
ACC-1014,4,33.25,54,2026-03-19
ACC-1014,9,50.96,48,2026-03-12
ACC-1015,5,35.75,28,2026-04-30
ACC-1015,2,54.27,38,2026-04-23
ACC-1015,3,69.02,54,2026-04-16
ACC-1015,16,93.06,7,2026-04-09
ACC-1015,11,14.61,52,2026-04-02
ACC-1015,16,59.99,35,2026-03-26
ACC-1015,17,53.12,31,2026-03-19
ACC-1015,7,59.05,53,2026-03-12
ACC-1016,0,83.89,59,2026-04-30
ACC-1016,1,61.47,51,2026-04-23
ACC-1016,3,47.51,5,2026-04-16
ACC-1016,10,81.44,27,2026-04-09
ACC-1016,12,36.45,19,2026-04-02
ACC-1016,12,25.89,50,2026-03-26
ACC-1016,5,78.48,58,2026-03-19
ACC-1016,4,31.17,9,2026-03-12
ACC-1017,3,60.79,58,2026-04-30
ACC-1017,5,78.57,50,2026-04-23
ACC-1017,5,17.57,54,2026-04-16
ACC-1017,2,55.15,43,2026-04-09
ACC-1017,9,19.93,59,2026-04-02
ACC-1017,3,36.26,20,2026-03-26
ACC-1017,8,26.44,41,2026-03-19
ACC-1017,5,28.73,7,2026-03-12
ACC-1018,1,26.89,53,2026-04-30
ACC-1018,0,25.78,31,2026-04-23
ACC-1018,2,29.45,40,2026-04-16
ACC-1018,10,43.97,44,2026-04-09
ACC-1018,18,37.81,52,2026-04-02
ACC-1018,3,31.22,48,2026-03-26
ACC-1018,6,54.32,25,2026-03-19
ACC-1018,7,35.84,56,2026-03-12
ACC-1019,5,70.84,51,2026-04-30
ACC-1019,5,37.39,27,2026-04-23
ACC-1019,0,54.21,12,2026-04-16
ACC-1019,12,54.28,48,2026-04-09
ACC-1019,1,39.17,9,2026-04-02
ACC-1019,9,47.97,14,2026-03-26
ACC-1019,16,30.6,26,2026-03-19
ACC-1019,18,63.01,51,2026-03-12
ACC-1020,3,65.11,49,2026-04-30
ACC-1020,4,91.89,5,2026-04-23
ACC-1020,5,94.87,52,2026-04-16
ACC-1020,17,49.08,45,2026-04-09
ACC-1020,5,15.33,46,2026-04-02
ACC-1020,17,93.38,18,2026-03-26
ACC-1020,8,84.94,59,2026-03-19
ACC-1020,11,51.38,59,2026-03-12
ACC-1021,1,20.92,29,2026-04-30
ACC-1021,5,48.82,60,2026-04-23
ACC-1021,1,87.84,43,2026-04-16
ACC-1021,4,79.55,7,2026-04-09
ACC-1021,6,91.46,23,2026-04-02
ACC-1021,7,24.04,19,2026-03-26
ACC-1021,3,17.97,13,2026-03-19
ACC-1021,18,31.64,31,2026-03-12
ACC-1022,0,69.66,46,2026-04-30
ACC-1022,3,65.82,58,2026-04-23
ACC-1022,5,72.37,34,2026-04-16
ACC-1022,10,13.39,19,2026-04-09
ACC-1022,11,30.87,28,2026-04-02
ACC-1022,3,36.11,10,2026-03-26
ACC-1022,20,36.15,46,2026-03-19
ACC-1022,1,45.06,5,2026-03-12
ACC-1023,4,74.35,10,2026-04-30
ACC-1023,0,24.27,41,2026-04-23
ACC-1023,4,26.89,38,2026-04-16
ACC-1023,6,87.74,25,2026-04-09
ACC-1023,1,54.47,35,2026-04-02
ACC-1023,8,56.27,44,2026-03-26
ACC-1023,2,26.15,20,2026-03-19
ACC-1023,15,28.04,47,2026-03-12
ACC-1024,5,50.36,16,2026-04-30
ACC-1024,4,35.83,28,2026-04-23
ACC-1024,4,16.08,25,2026-04-16
ACC-1024,10,93.3,12,2026-04-09
ACC-1024,13,26.41,33,2026-04-02
ACC-1024,17,36.93,10,2026-03-26
ACC-1024,10,68.0,59,2026-03-19
ACC-1024,14,71.26,40,2026-03-12
ACC-1025,4,60.36,39,2026-04-30
ACC-1025,0,71.14,20,2026-04-23
ACC-1025,1,72.58,9,2026-04-16
ACC-1025,15,89.77,16,2026-04-09
ACC-1025,8,80.51,31,2026-04-02
ACC-1025,1,37.79,55,2026-03-26
ACC-1025,11,66.66,15,2026-03-19
ACC-1025,15,20.79,8,2026-03-12
ACC-1026,4,90.51,15,2026-04-30
ACC-1026,4,17.55,49,2026-04-23
ACC-1026,3,86.5,21,2026-04-16
ACC-1026,1,78.64,28,2026-04-09
ACC-1026,15,20.13,47,2026-04-02
ACC-1026,20,57.53,41,2026-03-26
ACC-1026,3,31.12,41,2026-03-19
ACC-1026,7,46.45,14,2026-03-12
ACC-1027,0,31.76,9,2026-04-30
ACC-1027,0,13.77,51,2026-04-23
ACC-1027,0,30.56,52,2026-04-16
ACC-1027,1,40.11,19,2026-04-09
ACC-1027,15,24.09,20,2026-04-02
ACC-1027,13,49.81,60,2026-03-26
ACC-1027,8,43.43,26,2026-03-19
ACC-1027,8,64.31,19,2026-03-12
ACC-1028,5,30.95,34,2026-04-30
ACC-1028,1,60.53,50,2026-04-23
ACC-1028,2,75.05,28,2026-04-16
ACC-1028,10,29.83,48,2026-04-09
ACC-1028,7,13.89,22,2026-04-02
ACC-1028,8,88.86,55,2026-03-26
ACC-1028,9,34.24,54,2026-03-19
ACC-1028,4,18.6,27,2026-03-12
ACC-1029,5,32.17,45,2026-04-30
ACC-1029,5,51.53,27,2026-04-23
ACC-1029,3,79.81,22,2026-04-16
ACC-1029,13,38.62,50,2026-04-09
ACC-1029,13,20.71,37,2026-04-02
ACC-1029,18,80.08,16,2026-03-26
ACC-1029,5,67.88,28,2026-03-19
ACC-1029,12,12.77,22,2026-03-12
1215,5,20.0,15,2026-04-30
